Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,PriceCarat,FancyColor,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,State,City,Is Matched Pair Separable,Pair Stock #,Allow RapLink Feed,Parcel Stones,Certificate Filename,Diamond Image,3D File,Trade Show,Member Comment,alibabaPrice,ExportToAlibaba
216-920A,G,RBC,0.23,F,VVS2,EX,EX,EX,N,N,4.03*4.01*2.36,GIA,1347765883,,1453.130,,,,58.70,61.00,THN to STK,,3.50,Faceted,NONE,,12.50,32.50,43.00,40.80,GIA 1347765883,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
AD-12,G,RBC,1.00,J,SI1,VG,EX,VG,M,N,6.28*6.33*3.93,GIA,7288563710,,2670.500,,,,62.30,60.00,,,,,,,15.00,,4250.00,40.40,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-79A,G,RBC,1.01,H,SI2,EX,EX,VG,F,N,6.35*6.42*3.98,IGI,425073438,,2345.250,,,,62.30,58.00,Medium To Slightly Thick (Faceted) ,,3.80,,Pointed,,15.50,36.00,43.00,40.90,,IDEAL CUT ROUND BRILLIANT,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
241-23A,M,RBC,1.00,K,I1,EX,EX,EX,F,N,6.37*6.33*3.98,GIA,1359170758,,2080.750,,,,62.70,57.00,STK,,4.00,Faceted,NONE,,15.50,35.50,43.00,41.00,GIA 1359170758,"Additional clouds, pinpoints and internal graining are not shown.",INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-125F,G,RBC,0.30,H,I1,VG,EX,VG,F,N,4.28*4.22*2.69,GIA,3355557370,,670.000,,,,63.20,55.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 3355557370 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
240-191A,G,RBC,0.19,E,VS2,EX,EX,EX,N,N,3.80*3.77*2.27,GIA,6355360972,,1401.200,,,,60.00,60.00,THN to MED,,3.50,Faceted,NON,,12.50,32.00,44.00,41.60,GIA 6355360972,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-69A,G,RBC,1.00,H,SI2,G,EX,G,M,BLUE,6.14*6.01*4.05,GIA,2357280245,,2411.500,,,,66.80,55.00,THN to VTK,,7.00,Faceted,NON,,17.50,38.00,42.00,40.00,GIA 2357280245,Additional clouds are not shown. Pinpoints are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
242-19C,G,RBC,0.50,E,I1,EX,EX,EX,F,N,5.11*5.08*3.12,GIA,2354376976,,1265.000,,,,61.20,60.00,MED to STK,,4.00,Faceted,NON,,13.50,33.00,44.00,41.40,GIA 2354376976,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-24A,G,PR,1.49,J,SI2,VG,EX,VG,M,BLUE,6.23*6.19*4.49,GIA,1359453913,,2816.000,,,,72.50,66.00,THN to STK,,,,NON,,,,,,GIA 1359453913,Additional clouds are not shown. Pinpoints are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
214-51A,G,PB,0.70,G,VS1,VG,EX,VG,F,N,7.79*5.10*2.98,GIA,6341523405,,2166.000,,,,58.40,62.00,MED to THK,,,Faceted,NONE,,,,,,GIA 6341523405,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-35A,G,RBC,1.20,I,SI2,EX,EX,EX,M,BLUE,6.77*6.72*4.27,GIA,2358395203,,2989.000,,,,63.30,55.00,THN to STK,,3.50,Faceted,NON,,17.00,36.50,43.00,40.60,GIA 2358395203,"Additional twinning wisps, pinpoints, internal graining and surface graining are not shown.",INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
232-180A,G,EM,0.33,E,SI1,EX,EX,VG,N,N,4.53*3.20*2.17,GIA,6351278185,,678.750,,,,67.70,63.00,STK to VTK,,,,NON,,,,,,GIA 6351278185 ,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
225-11A,G,OV,1.20,M,SI1,G,EX,G,F,N,8.46*5.65*3.72,GIA,2357012663,,890.000,,,,65.80,65.00,STK to VTK,,,Faceted,NONE,,,,,,GIA 2357012663,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
