Stock #,Availability,Shape,Weight,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Measurements Length,Measurements Width,Measurements Depth,Lab,Certificate ID,Treatment,Price Per Carat,Discount,Depth,Table,Girdle Thin,Girdle Thick,Girdle,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Milky Inclusions,Black Inclusions,White Inclusions,Open Inclusions,Center Inclusions,Pavilion Angle,Laser Inscription,Member Comments,Supplier Comments,Country,State,City,Parcel Stones,CertificateLink,Certificate Comment,Diamond Image,Diamond Video,Is Matched Pair Separable,Pair Stock #,Eye Clean,Shade,Brand,Type2A,Type2ALink,Trade Show,ReportType,reportIssueDate,reportIssueLocation,diamondJourney,cashDiscount%,Star Length,Lower Half,Heart and Arrow,H & A Image,Plotting Image
AD-12,G,RBC,1.00,J,,,,SI1,VG,EX,VG,M,N,6.28*6.33*3.93,6.28,6.33,3.93,GIA,7288563710,,2670.500,45.500,62.30,60.00,,,,,,,15.00,,4250.00,NONE,BT0,WT1,TO0,CO2,40.40,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/AD-12/still.jpg,https://srd.world/vision360/vision360.html?d=AD-12&s=0,,,SURE,NO BGM,,,,,,,,,,,,,,
244-79A,G,RBC,1.01,H,,,,SI2,EX,EX,VG,F,N,6.35*6.42*3.98,6.35,6.42,3.98,IGI,425073438,,2345.250,55.750,62.30,58.00,Medium To Slightly Thick (Faceted) ,,3.80,,Pointed,,15.50,36.00,43.00,NONE,BT1,WT1,TO0,NV,40.90,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/244-79A/still.jpg,https://srd.world/vision360/vision360.html?d=244-79A&s=0,,,MINOR,BROWN/GRAY/PINK,,,,,,,,,,,,NEW YORK,,
241-23A,M,RBC,1.00,K,,,,I1,EX,EX,EX,F,N,6.37*6.33*3.98,6.37,6.33,3.98,GIA,1359170758,,2080.750,28.250,62.70,57.00,STK,,4.00,Faceted,NONE,,15.50,35.50,43.00,NONE,NV,WT0,TO0,CO2,41.00,GIA 1359170758,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-23A/still.jpg,https://srd.world/vision360/vision360.html?d=241-23A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,80,,,
239-125F,G,RBC,0.30,H,,,,I1,VG,EX,VG,F,N,4.28*4.22*2.69,4.28,4.22,2.69,GIA,3355557370,,670.000,33.000,63.20,55.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,NONE,BT1,WT1,TO0,CO1,41.00,GIA 3355557370 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/239-125F/still.jpg,https://srd.world/vision360/vision360.html?d=239-125F&s=0,,,MEDIUM,NO BGM,,,,,,,,,,50,75,NEW YORK,,
245-19A,G,RBC,1.39,J,,,,SI1,EX,EX,EX,F,N,7.10*7.07*4.49,7.10,7.07,4.49,GIA,5353661571,,3626.000,26.000,63.40,56.00,THN to STK,,3.50,Faceted,NON,,16.50,36.50,43.50,NONE,NV,WT1,TO0,CO0,41.00,GIA 5353661571,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-19A/still.jpg,https://srd.world/vision360/vision360.html?d=245-19A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,50,80,NEW YORK,,
240-191A,G,RBC,0.19,E,,,,VS2,EX,EX,EX,N,N,3.80*3.77*2.27,3.80,3.77,2.27,GIA,6355360972,,1401.200,-21.840,60.00,60.00,THN to MED,,3.50,Faceted,NON,,12.50,32.00,44.00,NONE,BT0,WT0,TO0,CO0,41.60,GIA 6355360972,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/240-191A/still.jpg,https://srd.world/vision360/vision360.html?d=240-191A&s=0,,,SURE,NO BGM,,,,,,,,,,50,80,NEW YORK,,
239-69A,G,RBC,1.00,H,,,,SI2,G,EX,G,M,BLUE,6.14*6.01*4.05,6.14,6.01,4.05,GIA,2357280245,,2411.500,54.500,66.80,55.00,THN to VTK,,7.00,Faceted,NON,,17.50,38.00,42.00,NONE,BT1,WT0,TO0,CO0,40.00,GIA 2357280245,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/239-69A/still.jpg,https://srd.world/vision360/vision360.html?d=239-69A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
242-19C,G,RBC,0.50,E,,,,I1,EX,EX,EX,F,N,5.11*5.08*3.12,5.11,5.08,3.12,GIA,2354376976,,1265.000,36.750,61.20,60.00,MED to STK,,4.00,Faceted,NON,,13.50,33.00,44.00,NONE,BT1,WT1,TO0,CO1,41.40,GIA 2354376976,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/242-19C/still.jpg,https://srd.world/vision360/vision360.html?d=242-19C&s=0,,,MEDIUM,NO BGM,,,,,,,,,,50,75,NEW YORK,,
225-11A,G,OV,1.20,M,,,,SI1,G,EX,G,F,N,8.46*5.65*3.72,8.46,5.65,3.72,GIA,2357012663,,890.000,55.500,65.80,65.00,STK to VTK,,,Faceted,NONE,,,,,NONE,BT1,WT1,NV,CO3,,GIA 2357012663,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/225-11A/still.jpg,https://srd.world/vision360/vision360.html?d=225-11A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
240-305A,G,RBC,0.19,E,,,,VS1,EX,EX,EX,N,N,3.68*3.65*2.28,3.68,3.65,2.28,GIA,6352569869,,1202.800,-4.590,62.30,59.00,MED to STK,,4.00,Faceted,NON,,15.00,36.00,43.50,NONE,BT0,NV,TO0,CO0,41.00,GIA 6352569869 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/240-305A/still.jpg,https://srd.world/vision360/vision360.html?d=240-305A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
234-151A,G,RBC,0.70,M,,,,VVS2,EX,EX,EX,N,N,5.81*5.78*3.41,5.81,5.78,3.41,GIA,2348766676,,1144.000,48.000,58.90,61.00,MED to STK,,3.50,Faceted,NONE,,12.50,33.00,43.00,NONE,BT0,WT0,TO0,CO0,40.80,GIA 2348766676,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
239-2A,G,PB,0.70,H,,,,SI1,VG,EX,G,M,BLUE,8.09*4.68*3.03,8.09,4.68,3.03,GIA,1357603271,,1476.100,49.100,64.80,54.00,MED to ETK,,,Faceted,NON,,,,,NONE,BT1,WT1,TO1,CO0,,GIA 1357603271,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/239-2A/still.jpg,https://srd.world/vision360/vision360.html?d=239-2A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
239-36D,G,PB,0.40,F,,,,SI1,VG,EX,G,F,N,6.48*4.09*2.51,6.48,4.09,2.51,GIA,3355588964,,1020.000,40.000,61.40,56.00,STK to ETK,,,Faceted,NON,,,,,NONE,BT0,NV,TO0,CO0,,GIA 3355588964,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/239-36D/still.jpg,https://srd.world/vision360/vision360.html?d=239-36D&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
205-297A,G,PB,0.30,F,,,,SI2,VG,VG,F,N,N,6.00*3.84*2.28,6.00,3.84,2.28,GIA,6345851108,,607.750,53.250,59.20,56.00,MED to THK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO0,CO0,,GIA 6345851108,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/205-297A/still.jpg,https://srd.world/vision360/vision360.html?d=205-297A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
238-128A,G,RBC,0.32,D,,,,VVS1,EX,EX,EX,S,BLUE,4.38*4.36*2.73,4.38,4.36,2.73,GIA,6355516078,,1522.500,47.500,62.50,57.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,NONE,BT0,WT0,TO0,CO0,41.00,GIA 6355516078 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/238-128A/still.jpg,https://srd.world/vision360/vision360.html?d=238-128A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
212-60D,G,OV,0.30,H,,,,SI2,VG,VG,G,F,N,5.27*3.73*2.35,5.27,3.73,2.35,GIA,3345484660,,682.000,38.000,62.80,56.00,MED to VTK,,,Faceted,NONE,,,,,NONE,NV,WT1,TO0,CO3,,GIA 3345484660,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
