Stock #,Availability,Shape,CARAT,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,NR PPC,NR TOTAL
227-35B,G,RBC,0.34,F,VVS1,EX,EX,EX,N,N,4.50 - 4.47 * 2.75,GIA,1343827477,,2100.000,16.000,2150.00,14.000,,,,61.30,60.00,,,4.00,Faceted,NON,,13.00,33.00,44.50,41.80,GIA 1343827477,,MUMBAI,2100.000,714.000
227-94B,G,PB,0.30,E,VVS1,VG,VG,G,N,N,5.93 - 3.69 * 2.27,GIA,6345766588,,1340.000,33.000,1380.00,31.000,,,,61.50,62.00,,,,Faceted,NON,,,,,,GIA 6345766588,,MUMBAI,1340.000,402.000
228-256A,G,PR,0.30,G,VS2,EX,EX,VG,F,N,3.64 - 3.62 * 2.65,GIA,2346955997,,784.000,44.000,812.00,42.000,,,,73.40,72.00,,,,Faceted,NON,,,,,,GIA 2346955997,,MUMBAI,784.000,235.200
229-169A,G,RBC,0.42,D,VS2,EX,EX,EX,F,N,4.80 - 4.78 * 3.01,GIA,6355001218,,1647.000,39.000,1701.00,37.000,,,,62.90,55.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 6355001218,,MUMBAI,1647.000,691.740
241-12B,G,RBC,0.60,L,VS2,EX,EX,EX,N,N,5.41 - 5.38 * 3.36,GIA,7352098342,,1105.000,35.000,1139.00,33.000,,,,62.20,60.00,,,4.00,Faceted,NON,,13.50,34.00,44.50,41.80,GIA 7352098342,,MUMBAI,1105.000,663.000
225-77A,G,PB,0.50,G,SI1,G,VG,VG,N,N,6.71 - 4.26 * 2.72,GIA,1343985768,,1197.000,43.000,1239.00,41.000,,,,63.80,59.00,,,,Faceted,NON,,,,,,GIA 1343985768,,MUMBAI,1197.000,598.500
227-107A,G,OV,0.50,E,VVS1,EX,EX,VG,N,N,6.18 - 4.56 * 2.68,GIA,6342877413,,2016.000,37.000,2080.00,35.000,,,,58.70,59.00,,,,Faceted,NON,,,,,,GIA 6342877413,,MUMBAI,2016.000,1008.000
238-222A,G,RBC,0.36,I,VVS1,EX,EX,EX,M,B,4.53 - 4.50 * 2.84,GIA,1353258784,,1240.000,38.000,1280.00,36.000,,,,62.80,57.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,40.80,GIA 1353258784,,MUMBAI,1240.000,446.400
229-219A,G,RBC,0.34,G,VVS2,EX,EX,EX,N,N,4.47 - 4.44 * 2.79,GIA,6342890467,,1470.000,30.000,1512.00,28.000,,,,62.50,56.00,,,3.50,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 6342890467,,MUMBAI,1470.000,499.800
222-232A,G,RBC,0.50,I,VS2,F,VG,G,N,N,4.90 - 4.81 * 3.19,GIA,1348798867,,1296.000,52.000,1350.00,50.000,,,,65.70,54.00,,,7.50,Faceted,NON,,17.50,37.50,41.00,39.40,GIA 1348798867,,MUMBAI,1296.000,648.000
