Stock Num,Availability,Lab,Certificate Num,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Price Per Cts,Total Price,Shade,Milky,Eye Clean,Black in Center,Black in Side,White in Center,White in Side,Open in Table,Open in Crown,Open in Pavilion,HA,Type 2A,Measurements,Width,Length,Depth,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,ImageName1,ImageName2,ImageName3,VideoLink,Diamond Url,Key to symbols,City,State,Country,Star Length,Lower Half,Color Description,Lab Location,Origin,Report Type,Report Issue Date,RapLab Report ID,Treatment,Full Shape Description
227-35B,G,GIA,1343827477,RBC,0.34,F,VVS1,EX,EX,EX,N,N,2050.000,697.000,Brown,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.50*4.47*2.75,4.47,4.50,2.75,,,,61.30,60.00,,,4.00,Faceted,NON,,13.00,33.00,44.50,41.80,GIA 1343827477,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Pinpoint, Internal Graining, Surface Graining",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
227-94B,G,GIA,6345766588,PB,0.30,E,VVS1,VG,VG,G,N,N,1340.000,402.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,5.93*3.69*2.27,3.69,5.93,2.27,,,,61.50,62.00,,,,Faceted,NON,,,,,,GIA 6345766588,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Cloud, Feather",MUMBAI,,INDIA,,,,INDIA,,,,,,
228-256A,G,GIA,2346955997,PR,0.30,G,VS2,EX,EX,VG,F,N,784.000,235.200,White,None,,BC0,BT0,WC1,WT1,TO0,CO0,PO0,,,3.64*3.62*2.65,3.62,3.64,2.65,,,,73.40,72.00,,,,Faceted,NON,,,,,,GIA 2346955997,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Feather,MUMBAI,,INDIA,,,,INDIA,,,,,,
229-169A,G,GIA,6355001218,RBC,0.42,D,VS2,EX,EX,EX,F,N,1566.000,657.720,White,None,,BC0,BT0,WC0,WT1,TO0,CO0,PO0,,,4.80*4.78*3.01,4.78,4.80,3.01,,,,62.90,55.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 6355001218,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Crystal,MUMBAI,,INDIA,50,80,,INDIA,,,,,,
241-12B,G,GIA,7352098342,RBC,0.60,L,VS2,EX,EX,EX,N,N,1071.000,642.600,White,None,,BC0,BT0,WC1,WT0,TO0,CO0,PO0,,,5.41*5.38*3.36,5.38,5.41,3.36,,,,62.20,60.00,,,4.00,Faceted,NON,,13.50,34.00,44.50,41.80,GIA 7352098342,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Feather,MUMBAI,,INDIA,50,80,,INDIA,,,,,,
227-107A,G,GIA,6342877413,OV,0.50,E,VVS1,EX,EX,VG,N,N,2016.000,1008.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,6.18*4.56*2.68,4.56,6.18,2.68,,,,58.70,59.00,,,,Faceted,NON,,,,,,GIA 6342877413,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Internal Graining, Feather",MUMBAI,,INDIA,,,,INDIA,,,,,,
238-222A,G,GIA,1353258784,RBC,0.36,I,VVS1,EX,EX,EX,M,B,1160.000,417.600,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.53*4.50*2.84,4.50,4.53,2.84,,,,62.80,57.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,40.80,GIA 1353258784,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Pinpoint,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
229-219A,G,GIA,6342890467,RBC,0.34,G,VVS2,EX,EX,EX,N,N,1386.000,471.240,White,None,,BC0,NV,WC0,WT0,TO0,CO0,PO0,,,4.47*4.44*2.79,4.44,4.47,2.79,,,,62.50,56.00,,,3.50,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 6342890467,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Pinpoint,MUMBAI,,INDIA,50,80,,INDIA,,,,,,
222-232A,G,GIA,1348798867,RBC,0.50,I,VS2,F,VG,G,N,N,1296.000,648.000,White,None,,BC0,NV,WC0,WT1,TO0,CO1,PO2,,,4.90*4.81*3.19,4.81,4.90,3.19,,,,65.70,54.00,,,7.50,Faceted,NON,,17.50,37.50,41.00,39.40,GIA 1348798867,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Cloud",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
225-162A,G,GIA,6355098175,RBC,0.63,H,SI2,EX,EX,EX,F,N,1380.000,869.400,Other,None,,BC2,BT2,WC2,WT2,NV,CO0,PO0,,,5.61*5.57*3.33,5.57,5.61,3.33,,,,59.70,59.00,,,3.50,Faceted,NON,,13.50,33.00,43.00,40.80,GIA 6355098175,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Twinning Wisp, Feather",MUMBAI,,INDIA,45,75,,INDIA,,,,,,
225-112A,G,GIA,7341976996,OV,0.51,L,VS2,EX,EX,VG,N,N,590.000,300.900,Other,None,,BC1,BT0,WC0,WT0,TO0,CO0,PO0,,,6.31*4.55*2.85,4.55,6.31,2.85,"L,FB",,,62.50,56.00,,,,Faceted,NON,,,,,,GIA 7341976996,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Crystal",MUMBAI,,INDIA,,,,INDIA,,,,,,
228-188A,G,GIA,6352040896,RBC,0.30,D,VVS1,VG,EX,EX,N,N,1652.000,495.600,White,None,,BC0,BT0,NV,WT0,TO0,CO0,PO0,,,4.34*4.31*2.59,4.31,4.34,2.59,,,,59.80,60.00,,,4.00,Faceted,NON,,13.50,34.00,42.50,40.40,GIA 6352040896,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Pinpoint, Feather, Indented Natural",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
227-113A,G,GIA,7348720424,RBC,0.53,H,SI1,EX,EX,EX,N,N,1537.000,814.610,Brown,None,,BC1,BT1,WC1,WT1,TO0,CO0,PO0,,,5.16*5.14*3.24,5.14,5.16,3.24,,,,62.80,56.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,40.80,GIA 7348720424,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Cloud",MUMBAI,,INDIA,50,80,,INDIA,,,,,,
216-920A,G,GIA,1347765883,RBC,0.23,F,VVS2,EX,EX,EX,N,N,1503.500,345.810,White,None,,BC0,NV,WC0,WT0,TO0,CO0,PO0,,,4.03*4.01*2.36,4.01,4.03,2.36,,,,58.70,61.00,,,3.50,Faceted,NON,,12.50,32.50,43.00,40.80,GIA 1347765883,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Cloud, Pinpoint",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
227-30A,G,GIA,6342874060,PB,1.00,G,SI2,EX,EX,VG,N,N,2340.000,2340.000,White,None,,BC1,BT2,WC1,WT1,TO0,CO1,PO2,,,8.63*5.74*3.46,5.74,8.63,3.46,,,,60.30,58.00,,,,Faceted,NON,,,,,,GIA 6342874060,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Crystal, Feather, Cavity, Cloud, Natural",MUMBAI,,INDIA,,,,INDIA,,,,,,
224-30C,G,GIA,6345783153,RBC,0.32,K,SI1,EX,EX,EX,M,B,672.000,215.040,White,None,,BC1,BT1,WC1,WT1,TO0,CO0,PO0,,,4.45*4.43*2.67,4.43,4.45,2.67,,,,60.20,61.00,,,3.50,Faceted,NON,,12.50,32.50,44.00,41.60,GIA 6345783153,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Cloud, Crystal, Feather",MUMBAI,,INDIA,50,80,,INDIA,,,,,,
234-45A,G,GIA,2346694221,RBC,0.35,H,VVS2,EX,EX,EX,N,N,1220.000,427.000,Other,None,,BC0,BT0,NV,WT0,TO0,CO0,PO0,,,4.49*4.46*2.80,4.46,4.49,2.80,,,,62.60,57.00,,,3.50,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 2346694221,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Pinpoint, Internal Graining",MUMBAI,,INDIA,45,75,,INDIA,,,,,,
221-105A,G,GIA,2347811973,CU,0.50,I,SI1,VG,EX,VG,F,N,828.000,414.000,White,None,,BC0,BT1,WC0,WT1,TO0,CO2,PO2,,,4.71*4.59*3.19,4.59,4.71,3.19,,,,69.40,66.00,,,,Faceted,NON,,,,,,GIA 2347811973,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Indented Natural, Crystal",MUMBAI,,INDIA,,,,INDIA,,,,,,
227-131A,G,GIA,6345910395,RBC,0.40,H,SI2,G,EX,VG,N,N,867.000,346.800,White,None,,BC0,BT0,WC2,WT1,TO0,CO2,PO1,,,4.62*4.58*3.00,4.58,4.62,3.00,,,,65.20,52.00,,,5.00,Faceted,NON,,16.50,34.50,43.50,41.00,GIA 6345910395,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Cavity",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
221-492A,G,GIA,2358098120,RBC,0.30,M,IF,EX,EX,EX,N,N,900.000,270.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.30*4.28*2.66,4.28,4.30,2.66,,,,61.90,60.00,,,4.00,Faceted,NON,,13.50,33.50,44.50,41.80,GIA 2358098120,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Minor Details of Polish,MUMBAI,,INDIA,50,75,,INDIA,,,,,,
237-115A,G,GIA,1359056092,RBC,0.40,E,VVS1,EX,EX,EX,S,B,1815.000,726.000,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,4.73*4.71*2.94,4.71,4.73,2.94,,,,62.20,60.00,,,4.50,Faceted,NON,,13.50,34.00,44.50,41.80,GIA 1359056092,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,Pinpoint,MUMBAI,,INDIA,50,80,,INDIA,,,,,,
225-33A,G,GIA,6352029206,OV,1.23,K,SI2,EX,EX,VG,F,N,1716.000,2110.680,White,None,,BC1,BT1,WC1,WT1,TO0,CO1,PO2,,,8.33*6.16*3.65,6.16,8.33,3.65,,,,59.30,58.00,,,,Faceted,NON,,,,,,GIA 6352029206,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Twinning Wisp, Feather, Cloud, Cavity, Crystal, Indented Natural, Natural",MUMBAI,,INDIA,,,,INDIA,,,,,,
227-89A,G,GIA,6341813098,PB,0.54,E,VVS2,EX,EX,VG,N,N,1710.000,923.400,White,None,,BC0,BT0,WC0,WT0,TO0,CO0,PO0,,,7.04*4.41*2.80,4.41,7.04,2.80,,,,63.60,60.00,,,,Faceted,NON,,,,,,GIA 6341813098,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Cloud, Pinpoint",MUMBAI,,INDIA,,,,INDIA,,,,,,
222-356A,G,GIA,1348767065,RBC,0.30,L,VS2,EX,EX,EX,F,N,660.000,198.000,White,None,,NV,BT1,NV,WT1,TO0,CO0,PO0,,,4.29*4.27*2.68,4.27,4.29,2.68,,,,62.60,57.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.00,GIA 1348767065,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,"Feather, Crystal",MUMBAI,,INDIA,50,75,,INDIA,,,,,,
