Stock No,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Lab,Certificate Number,Price Per Carat,Rapnet  Discount,Depth,Table,GirdleThin,GirdleThick,GirdlePercent,GirdleCondition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Star Length,Lower Half,Laser Inscription,Key to symbols,City,State,Country,Shade,MeasLength,MeasWidth,MeasDepth,Ratio,Treatment,Black Inclusion,White Inclusion,Open Inclusion,Milky,Heart and Arrow,Eye Clean,Comment,Member Comment,Supplier Comment,Trade Show No,Pair Stock #,Diamond Image,Certificate Image,Video Link,H & A Image,Plotting Image
AD-12,G,RBC,1.00,J,SI1,VG,EX,VG,M,N,6.28*6.33*3.93,,,,GIA,7288563710,2646.000,-46.000,62.30,60.00,,,,,,,15.00,,4250.00,40.40,,,,"Indented Natural,  Feather,  Needle,  Cloud",MUMBAI,,INDIA,White,6.28,6.33,3.93,1.01,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
244-79A,G,RBC,1.01,H,SI2,EX,EX,VG,F,N,6.35*6.42*3.98,,,,IGI,425073438,2305.500,-56.500,62.30,58.00,,,3.80,,Pointed,,15.50,36.00,43.00,40.90,,,,,MUMBAI,,INDIA,,6.35,6.42,3.98,1.01,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MINOR,IDEAL CUT ROUND BRILLIANT,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-23A,M,RBC,1.00,K,I1,EX,EX,EX,F,N,6.37*6.33*3.98,,,,GIA,1359170758,2080.750,-28.250,62.70,57.00,,,4.00,Faceted,NONE,,15.50,35.50,43.00,41.00,50,,GIA 1359170758,"Feather, Crystal, Cloud, Indented Natural, Cavity, Needle",MUMBAI,,INDIA,White,6.37,6.33,3.98,0.99,,NONE VISIBLE  ,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,"Additional clouds, pinpoints and internal graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
239-125F,G,RBC,0.30,H,I1,VG,EX,VG,F,N,4.28*4.22*2.69,,,,GIA,3355557370,662.500,-33.750,63.20,55.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,50,,GIA 3355557370 ,"Crystal, Feather",MUMBAI,,INDIA,White,4.28,4.22,2.69,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-19A,G,RBC,1.39,J,SI1,EX,EX,EX,F,N,7.10*7.07*4.49,,,,GIA,5353661571,3577.000,-27.000,63.40,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.50,41.00,50,,GIA 5353661571,"Crystal, Cloud, Cavity, Feather, Indented Natural, Needle",NEW YORK,,INDIA,White,7.10,7.07,4.49,1.00,,NONE VISIBLE,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,Additional clouds are not shown. Pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
240-191A,G,RBC,0.19,E,VS2,EX,EX,EX,N,N,3.80*3.77*2.27,,,,GIA,6355360972,1383.910,20.340,60.00,60.00,,,3.50,Faceted,NON,,12.50,32.00,44.00,41.60,50,,GIA 6355360972,Feather,MUMBAI,,INDIA,White,3.80,3.77,2.27,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
239-69A,G,RBC,1.00,H,SI2,G,EX,G,M,BLUE,6.14*6.01*4.05,,,,GIA,2357280245,2358.500,-55.500,66.80,55.00,,,7.00,Faceted,NON,,17.50,38.00,42.00,40.00,50,,GIA 2357280245,"Feather, Crystal, Cloud, Cavity, Needle, Natural, Extra Facet",NEW YORK,,INDIA,White,6.14,6.01,4.05,0.98,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,Additional clouds are not shown. Pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
242-19C,G,RBC,0.50,E,I1,EX,EX,EX,F,N,5.11*5.08*3.12,,,,GIA,2354376976,1245.000,-37.750,61.20,60.00,,,4.00,Faceted,NON,,13.50,33.00,44.00,41.40,50,,GIA 2354376976,"Feather, Crystal",MUMBAI,,INDIA,White,5.11,5.08,3.12,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
SD-072031,G,RBC,1.00,G,I1,VG,VG,VG,N,,6.52*6.44*3.84,,,,GIA,3355737212,2652.000,-32.000,59.30,61.00,,,,Faceted,0,,0.13,,0.43,,,,,,MUMBAI,,INDIA,White,6.52,6.44,3.84,0.99,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 0,None,0,MINOR,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-11A,G,OV,1.20,M,SI1,G,EX,G,F,N,8.46*5.65*3.72,,,,GIA,2357012663,880.000,-56.000,65.80,65.00,,,,Faceted,NONE,,,,,,,,GIA 2357012663,"Feather, Cavity, Cloud, Crystal, Indented Natural, Needle, Extra Facet",NEW YORK,,INDIA,White,8.46,5.65,3.72,0.67,,TABLE BLACK 1,WHITE TABLE 1,NONE VISIBLE,None,0,EYE CLEAN NO,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
