Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
237-127A,G,R,0.50,K,SI1,F,EX,VG,S,B,4.81*4.75*3.27,No,,GIA,5356143738,,,700.000,-65.000,,,68.30,59.00,,,7.50,Faceted,NON,,16.50,39.50,44.00,41.40,GIA 5356143738,,"Indented Natural, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5356143738&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
235-95B,G,PR,0.30,H,IF,EX,EX,VG,S,B,3.86*3.76*2.60,No,,GIA,1359148061,,,612.000,-66.000,,,69.10,74.00,,,,,NON,,,,,,GIA 1359148061,,Minor Details of Polish,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1359148061&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
229-287B,G,PR,0.30,H,VS1,VG,EX,VG,F,N,3.82*3.66*2.75,No,,GIA,7342955396,,,847.500,-43.500,,,74.90,74.00,,,,,NON,,,,,,GIA 7342955396,,"Feather, Indented Natural, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7342955396&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
233-94A,G,OV,0.90,E,VS2,VG,EX,G,N,N,7.38*5.32*3.32,No,,GIA,2347664858,,,3025.000,-45.000,,,62.30,54.00,,,,Faceted,NON,,,,,,GIA 2347664858,,"Indented Natural, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347664858&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-304A,G,R,0.40,J,VVS1,VG,EX,VG,F,N,4.61*4.57*2.97,No,,GIA,2347850042,,,1365.000,-35.000,,,64.70,60.00,,,5.50,Faceted,NON,,14.50,36.00,44.50,41.80,GIA 2347850042,,"Pinpoint, Chip, Indented Natural, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347850042&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
220-188A,G,R,0.40,J,SI1,VG,EX,VG,N,N,4.62*4.56*2.96,No,,GIA,1343827293,,,960.500,-43.500,,,64.40,56.00,,,5.00,Faceted,NON,,17.50,38.50,42.00,40.00,GIA 1343827293,,Crystal,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1343827293&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
231-309A,G,R,0.30,H,VVS2,EX,EX,VG,F,N,4.31*4.28*2.63,No,,GIA,5356056412,,,1239.000,-41.000,,,61.30,59.00,,,4.00,Faceted,NON,,14.00,34.50,43.50,41.20,GIA 5356056412,,"Manufacturing Remnant, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5356056412&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
234-256A,G,R,0.36,F,IF,EX,EX,EX,N,N,4.67*4.64*2.76,No,,GIA,7346694183,,,2324.000,-17.000,,,59.20,62.00,,,3.50,Faceted,NON,,12.50,33.00,43.50,41.00,GIA 7346694183,,Minor Details of Polish,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7346694183&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-233A,G,R,0.30,H,VS1,VG,EX,VG,N,N,4.23*4.21*2.70,No,,GIA,3355098358,,,1300.000,-35.000,,,63.90,56.00,,,5.00,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 3355098358,,"Feather, Cloud, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3355098358&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
236-20A,G,R,0.51,H,VVS1,EX,EX,EX,S,B,5.12*5.08*3.20,No,,GIA,6352080178,,,1908.000,-47.000,,,62.70,59.00,,,4.00,Faceted,NON,,14.00,34.50,44.50,41.80,GIA 6352080178,,"Pinpoint, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352080178&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-188A,G,R,0.30,D,VVS1,VG,EX,EX,N,N,4.34*4.31*2.59,No,,GIA,6352040896,,,1680.000,-44.000,,,59.80,60.00,,,4.00,Faceted,NON,,13.50,34.00,42.50,40.40,GIA 6352040896,,"Pinpoint, Feather, Indented Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352040896&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
227-113A,G,R,0.53,H,SI1,EX,EX,EX,N,N,5.16*5.14*3.24,No,,GIA,7348720424,,,1906.500,-38.500,,,62.80,56.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,40.80,GIA 7348720424,,"Crystal, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7348720424&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-278A,G,R,0.30,I,VVS2,VG,EX,VG,N,N,4.23*4.18*2.68,No,,GIA,5356068224,,,1120.000,-44.000,,,63.60,58.00,,,5.00,Faceted,NON,,15.50,37.00,43.00,40.80,GIA 5356068224,,"Cloud, Indented Natural, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5356068224&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-207A,G,R,0.30,J,VS1,VG,EX,VG,F,N,4.20*4.16*2.69,No,,GIA,6355040924,,,935.000,-45.000,,,64.40,56.00,,,5.00,Faceted,NON,,17.50,38.50,42.00,40.20,GIA 6355040924,,"Cloud, Indented Natural, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6355040924&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
220-236A,G,OV,0.30,H,VS2,EX,EX,VG,N,N,5.17*3.83*2.29,No,,GIA,2344767124,,,931.000,-33.500,,,59.90,62.00,,,,Faceted,NON,,,,,,GIA 2344767124,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2344767124&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
216-920A,G,R,0.23,F,VVS2,EX,EX,EX,N,N,4.03*4.01*2.36,No,,GIA,1347765883,,,1636.600,-2.000,,,58.70,61.00,,,3.50,Faceted,NON,,12.50,32.50,43.00,40.80,GIA 1347765883,,"Cloud, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1347765883&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
235-67A,G,R,0.50,I,SI1,EX,EX,VG,F,N,5.13*5.10*3.11,No,,GIA,1353175412,,,1269.000,-53.000,,,60.80,56.00,,,4.00,Faceted,NON,,14.00,33.00,43.00,40.80,GIA 1353175412,,"Feather, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1353175412&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-85A,G,R,0.34,J,VS1,EX,EX,EX,F,N,4.48*4.45*2.81,No,,GIA,2347971569,,,986.000,-42.000,,,63.00,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 2347971569,,"Crystal, Cloud, Feather, Needle","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347971569&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
224-21B,G,R,0.50,E,SI2,EX,EX,EX,N,N,5.12*5.10*3.13,No,,GIA,6345798884,,,1792.000,-36.000,,,61.30,59.00,,,3.50,Faceted,NON,,14.50,35.50,43.00,41.00,GIA 6345798884,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6345798884&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-445A,G,PR,0.31,G,VS2,EX,EX,VG,F,N,3.76*3.71*2.70,No,,GIA,2357039865,,,1500.000,0.000,,,72.80,71.00,,,,,NON,,,,,,GIA 2357039865,,"Cloud, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2357039865&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
227-30A,G,PE,1.00,G,SI2,EX,EX,VG,N,N,8.63*5.74*3.46,No,,GIA,6342874060,,,2856.000,-40.500,,,60.30,58.00,,,,Faceted,NON,,,,,,GIA 6342874060,Additional clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Cavity, Cloud, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6342874060&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
224-30C,G,R,0.32,K,SI1,EX,EX,EX,M,B,4.45*4.43*2.67,No,,GIA,6345783153,,,858.000,-34.000,,,60.20,61.00,,,3.50,Faceted,NON,,12.50,32.50,44.00,41.60,GIA 6345783153,,"Cloud, Crystal, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6345783153&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
234-45A,G,R,0.35,H,VVS2,EX,EX,EX,N,N,4.49*4.46*2.80,No,,GIA,2346694221,,,1575.000,-25.000,,,62.60,57.00,,,3.50,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 2346694221,,"Pinpoint, Internal Graining","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2346694221&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-105A,G,CU,0.50,I,SI1,VG,EX,VG,F,N,4.71*4.59*3.19,No,,GIA,2347811973,,,1900.000,0.000,,,69.40,66.00,,,,Faceted,NON,,,,,,GIA 2347811973,,"Indented Natural, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347811973&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
220-100A,G,R,0.30,E,VS2,EX,EX,EX,N,N,4.30*4.27*2.69,No,,GIA,6342765959,,,1430.000,-35.000,,,62.70,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 6342765959,,Feather,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6342765959&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
231-110A,G,R,0.30,F,SI1,EX,EX,VG,N,N,4.29*4.24*2.70,No,,GIA,2347976466,,,1254.000,-34.000,,,63.20,57.00,,,4.00,Faceted,NON,,14.50,34.00,44.50,41.80,GIA 2347976466,,Cloud,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2347976466&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
236-92A,G,R,0.50,M,SI1,EX,EX,EX,S,B,5.09*5.05*3.16,No,,GIA,7356141203,,,675.000,-55.000,,,62.30,59.00,,,4.00,Faceted,NON,,14.50,35.00,44.00,41.20,GIA 7356141203,,Crystal,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7356141203&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
227-131A,G,R,0.40,H,SI2,G,EX,VG,N,N,4.62*4.58*3.00,No,,GIA,6345910395,,,927.000,-48.500,,,65.20,52.00,,,5.00,Faceted,NON,,16.50,34.50,43.50,41.00,GIA 6345910395,,"Feather, Cavity","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6345910395&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-32A,G,R,0.30,G,VVS2,VG,EX,EX,F,N,4.30*4.27*2.61,No,,GIA,6341955054,,,1357.000,-41.000,,,61.00,57.00,,,4.50,Faceted,NON,,14.50,34.00,42.00,40.00,GIA 6341955054,,"Feather, Pinpoint, Indented Natural, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6341955054&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-492A,G,R,0.30,M,IF,EX,EX,EX,N,N,4.30*4.28*2.66,No,,GIA,2358098120,,,816.000,-49.000,,,61.90,60.00,,,4.00,Faceted,NON,,13.50,33.50,44.50,41.80,GIA 2358098120,,Minor Details of Polish,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2358098120&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
221-482A,G,R,0.46,O,VS1,VG,EX,VG,N,N,4.86*4.80*3.11,No,,GIA,1353143381,,,560.000,-60.000,,,64.40,57.00,,,5.00,Faceted,NON,,16.50,37.00,43.00,40.80,GIA 1353143381,,"Crystal, Indented Natural, Cavity, Pinpoint","GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1353143381&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-317A,G,EM,0.40,H,SI1,VG,EX,G,F,N,5.13*3.53*2.27,No,,GIA,7342719426,,,832.000,-48.000,,,64.30,61.00,,,,,NON,,,,,,GIA 7342719426,,"Crystal, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7342719426&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-291A,G,R,0.30,G,SI2,EX,EX,EX,M,B,4.28*4.26*2.67,No,,GIA,7341985949,,,1600.000,0.000,,,62.50,56.00,,,4.00,Faceted,NON,,15.50,35.50,43.00,40.80,GIA 7341985949,,Crystal,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7341985949&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
237-115A,G,R,0.40,E,VVS1,EX,EX,EX,S,B,4.73*4.71*2.94,No,,GIA,1359056092,,,3500.000,0.000,,,62.20,60.00,,,4.50,Faceted,NON,,13.50,34.00,44.50,41.80,GIA 1359056092,,Pinpoint,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1359056092&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
229-72A,G,R,0.31,G,SI1,EX,EX,EX,N,N,4.35*4.32*2.70,No,,GIA,6352068232,,,1242.000,-31.000,,,62.40,58.00,,,3.50,Faceted,NON,,14.50,34.00,44.50,41.80,GIA 6352068232,,"Crystal, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352068232&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
225-33A,G,OV,1.23,K,SI2,EX,EX,VG,F,N,8.33*6.16*3.65,No,,GIA,6352029206,,,1820.000,-35.000,,,59.30,58.00,,,,Faceted,NON,,,,,,GIA 6352029206,"Additional twinning wisps, additional clouds, pinpoints, internal graining and surface graining are not shown.","Twinning Wisp, Feather, Cloud, Cavity, Crystal, Indented Natural, Natural","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6352029206&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-487A,G,R,0.40,I,SI1,EX,EX,EX,N,N,4.70*4.67*2.96,No,,GIA,6342796523,,,1197.000,-37.000,,,63.10,56.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,41.00,GIA 6342796523,,"Crystal, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6342796523&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
231-164A,G,EM,0.40,G,SI1,EX,EX,VG,N,N,4.70*3.56*2.39,No,,GIA,7341971442,,,926.500,-45.500,,,67.20,59.00,,,,,NON,,,,,,GIA 7341971442,,"Crystal, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7341971442&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
237-133A,G,R,0.40,G,VVS2,VG,EX,VG,S,B,4.69*4.65*2.96,No,,GIA,6351055883,,,1431.000,-47.000,,,63.50,56.00,,,4.00,Faceted,NON,,16.50,36.50,43.50,41.00,GIA 6351055883,,"Pinpoint, Feather","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6351055883&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
228-238A,G,R,0.32,J,VS2,EX,EX,EX,F,N,4.37*4.33*2.75,No,,GIA,6342942521,,,912.000,-43.000,,,63.20,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.20,GIA 6342942521,,"Crystal, Cloud","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6342942521&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
227-89A,G,PE,0.54,E,VVS2,EX,EX,VG,N,N,7.04*4.41*2.80,No,,GIA,6341813098,,,1736.000,-44.000,,,63.60,60.00,,,,Faceted,NON,,,,,,GIA 6341813098,,"Cloud, Pinpoint","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6341813098&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
222-356A,G,R,0.30,L,VS2,EX,EX,EX,F,N,4.29*4.27*2.68,No,,GIA,1348767065,,,819.000,-37.000,,,62.60,57.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.00,GIA 1348767065,,"Feather, Crystal","WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",50,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1348767065&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
237-136A,G,R,0.50,K,SI1,VG,EX,EX,S,B,4.98*4.94*3.20,No,,GIA,6351143231,,,800.000,-60.000,,,64.60,59.00,,,5.50,Faceted,NON,,15.00,36.50,44.00,41.40,GIA 6351143231,,Crystal,"WeChat:- srdgems,Whatsapp:-, Skype:- , (for Volume Adavntage call Us)",45,,,,,,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6351143231&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,,,,1,
