Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
27-441CISI,G,RBC,0.31,G,VS2,EX,VG,VG,N,N,4.41*4.4*2.62,No,Borderline,GIA,6412826814,,,1496.000,-32.000,1496.000,-32.000,59.50,60.00,,,3.50,Faceted,NONE,,13.00,33.00,43.00,40.80,GIA 6412826814,,"Twinning Wisp, Crystal, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6412826814&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-441,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-441,,,,,,,,1,
43-1040SCI,G,RBC,0.30,H,SI1,EX,EX,VG,N,N,4.29*4.26*2.7,No,Borderline,GIA,2417853310,,,1349.000,-29.000,1349.000,-29.000,63.20,56.00,,,3.50,Faceted,NONE,,16.00,36.00,43.50,41.20,GIA 2417853310,,"Cloud, Crystal, Feather, Indented Natural","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2417853310&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-043-1040,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-043-1040,,,,,,,,1,
21-376CSI,G,RBC,0.35,H,SI1,EX,EX,EX,N,N,4.51*4.47*2.8,No,E1,GIA,6415836672,,,1425.000,-25.000,1425.000,-25.000,62.40,57.00,,,3.50,Faceted,NONE,,16.00,36.50,43.00,41.00,GIA 6415836672,,"Cloud, Crystal","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6415836672&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-021-376,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-021-376,,,,,,,,1,
20-1620SI,G,RBC,0.30,G,SI1,EX,EX,EX,N,N,4.3*4.27*2.65,No,Borderline,GIA,3415827207,,,1440.000,-28.000,1440.000,-28.000,61.80,57.00,,,3.50,Faceted,NONE,,15.50,35.50,43.00,40.60,GIA 3415827207,,"Feather, Twinning Wisp, Cloud","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3415827207&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1620,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1620,,,,,,,,1,
33-678SI,G,RBC,0.30,H,SI2,EX,EX,VG,N,N,4.33*4.32*2.62,No,E1,GIA,2414852779,,,1120.000,-30.000,1120.000,-30.000,60.70,57.00,,,3.50,Faceted,VERY SMALL,,14.50,34.00,42.50,40.60,GIA 2414852779,,"Crystal, Feather","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2414852779&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-033-678,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-033-678,,,,,,,,1,
20-1867CS,G,RBC,0.30,F,SI2,EX,VG,EX,N,N,4.3*4.27*2.68,No,E1,GIA,1413828022,,,1152.000,-36.000,1152.000,-36.000,62.60,56.00,,,3.50,Faceted,NONE,,16.00,35.50,43.50,41.00,GIA 1413828022,,Twinning Wisp,"NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1413828022&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1867,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1867,,,,,,,,1,
5-901K,G,RBC,0.33,D,VVS1,EX,EX,EX,S,B,4.44*4.42*2.79,No,YES,GIA,2414836552,,,1705.000,-45.000,1705.000,-45.000,62.90,57.00,,,4.00,Faceted,NONE,,15.00,35.00,44.00,41.40,GIA 2414836552,,Feather,"NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2414836552&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-005-901,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-005-901,,,,,,,,1,
20-293SI,G,RBC,0.30,E,SI1,EX,VG,VG,F,N,4.39*4.34*2.57,No,Borderline,GIA,2414826394,,,1364.000,-38.000,1364.000,-38.000,59.00,61.00,,,4.00,Faceted,VERY SMALL,,12.50,32.50,43.00,40.80,GIA 2414826394,,Feather,"NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2414826394&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-293,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-293,,,,,,,,1,
27-438CSI,G,RBC,0.29,E,VS2,EX,EX,EX,N,N,4.33*4.3*2.6,No,Borderline,GIA,5416849902,,,1669.500,5.000,1669.500,5.000,60.20,60.00,,,4.00,Faceted,VERY SMALL,,13.50,34.00,43.00,40.80,GIA 5416849902,,"Crystal, Feather, Needle","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5416849902&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-438,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-438,,,,,,,,1,
18-1003K,G,RBC,0.30,J,SI1,EX,VG,VG,F,N,4.31*4.27*2.68,No,YES,GIA,2416843293,,,1035.000,-31.000,1035.000,-31.000,62.60,56.00,,,3.50,Faceted,NONE,,16.00,35.50,43.50,41.20,GIA 2416843293,,"Feather, Crystal","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2416843293&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-018-1003,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-018-1003,,,,,,,,1,
