Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
168-73SC,G,R,1.00,G,I1,EX,EX,VG,M,B,6.34*6.40*4.00,No,E1,GIA,6381510757,,,2800.000,-30.000,2800.000,-30.000,62.80,57.00,,,3.50,Faceted,NONE,,16.00,36.50,43.00,40.80,GIA 6381510757,"Additional clouds, pinpoints and surface graining are not shown.","Crystal, Cloud, Feather, Needle, Etch Channel, Indented Natural, Natural","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6381510757&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/168-73SC/168-73SC.html,,,,,,,,1,
236-1234C,G,R,1.03,M,SI2,EX,EX,EX,M,B,6.40*6.44*4.03,No,E1,GIA,6385436714,,,1792.000,-36.000,1792.000,-36.000,62.80,56.00,,,3.50,Faceted,NONE,,16.50,36.50,43.00,40.60,GIA 6385436714,Additional pinpoints are not shown.,"Crystal, Feather, Pinpoint, Natural","NO BGM,TABLE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6385436714&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/236-1234C/236-1234C.html,,,,,,,,1,
239-538CISI,G,R,1.07,F,SI2,EX,EX,EX,F,N,6.50*6.55*4.08,No,Borderline,GIA,7386436815,,,4095.000,-35.000,4095.000,-35.000,62.60,57.00,,,4.00,Faceted,NONE,,15.00,34.50,43.50,41.20,GIA 7386436815,"Additional twinning wisps, clouds, pinpoints and surface graining are not shown.","Crystal, Twinning Wisp, Feather, Needle","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7386436815&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/239-538CISI/239-538CISI.html,,,,,,,,1,
353-8774CI,G,R,0.30,D,SI2,VG,EX,VG,N,N,4.21*4.25*2.65,No,E1,GIA,7393382755,,,1159.000,-39.000,1159.000,-39.000,62.70,58.00,,,4.50,Faceted,NONE,,15.50,36.50,42.50,40.60,GIA 7393382755,,"Feather, Crystal","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7393382755&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/353-8774CI/353-8774CI.html,,,,,,,,1,
372-612B,G,R,0.40,,VVS2,,EX,EX,N,N,4.78*4.81*2.88,Yes,YES,GIA,6391383838,,,1400.000,,1400.000,,60.10,61.00,,,,Faceted,NONE,,,,,,GIA 6391383838,Internal graining is not shown. Surface graining is not shown.,"Feather, Pinpoint","MEDIUM BROWN,NO MILKY,NO BLACK",,Brown,,,,None,BROWN,FAINT,PINKISH,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6391383838&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/372-612B/372-612B.html,,,,,,,,1,
38-226K,G,CU,1.00,E,VS1,,EX,EX,VS,B,5.31*5.88*3.62,No,YES,GIA,1373208796,,,2886.000,-61.000,2886.000,-61.000,68.10,60.00,,,,Faceted,NONE,,,,,,GIA 1373208796 ,Additional pinpoints are not shown.,"Crystal, Pinpoint, Indented Natural, Natural","NO BGM,NO BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1373208796&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/38-226K/38-226K.html,,,,,,,,1,
81-17CI,G,EM,1.00,M,SI1,,VG,VG,M,B,4.76*7.10*3.01,No,YES,GIA,5376208759,,,1100.000,-45.000,1100.000,-45.000,63.30,79.00,,,,,NONE,,,,,,GIA 5376208759 ,,"Etch Channel, Feather, Crystal, Cavity, Cloud, Needle, Natural","NO BGM,TABLE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5376208759&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/81-17CI/81-17CI.html,,,,,,,,1,
81-6K,G,EM,1.00,M,SI1,,VG,VG,M,B,4.77*6.21*3.52,No,Borderline,GIA,1378208121,,,1100.000,-45.000,1100.000,-45.000,73.80,77.00,,,,,NONE,,,,,,GIA 1378208121 ,,"Etch Channel, Feather, Indented Natural","NO BGM,NO BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1378208121&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/81-6K/81-6K.html,,,,,,,,1,
60-154CISIBI,G,CU,1.03,J,I1,,EX,EX,M,B,5.89*6.26*3.30,Yes,E1,GIA,3375208601,,,1320.000,-40.000,1320.000,-40.000,56.10,65.00,,,,Faceted,NONE,,,,,,GIA 3375208601 ,"Clouds, pinpoints and surface graining are not shown.","Crystal, Needle, Feather, Natural","LIGHT BROWN,NO MILKY,TABLE SMALL BLACK,SIDE SMALL BLACK",,Brown,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3375208601&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/60-154CISIBI/60-154CISIBI.html,,,,,,,,1,
49-223CISI,G,CU,1.16,D,VS2,,VG,VG,S,B,5.66*6.28*3.97,No,Borderline,GIA,6372209173,,,2660.000,-62.000,2660.000,-62.000,70.10,60.00,,,,Faceted,NONE,,,,,,GIA 6372209173 ,"Additional clouds, pinpoints and surface graining are not shown.","Crystal, Feather, Cloud, Needle, Indented Natural","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6372209173&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/49-223CISI/49-223CISI.html,,,,,,,,1,
